IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.44.212,443,true,SJC,North America,San Jose,187 ms,12.03 MB/s
103.184.44.39,443,true,SJC,North America,San Jose,188 ms,11.98 MB/s
103.184.45.220,443,true,SJC,North America,San Jose,189 ms,11.88 MB/s
103.184.45.209,443,true,SJC,North America,San Jose,188 ms,11.88 MB/s
103.184.44.43,443,true,SJC,North America,San Jose,187 ms,11.79 MB/s
103.184.45.161,443,true,SJC,North America,San Jose,186 ms,11.77 MB/s
103.184.45.71,443,true,SJC,North America,San Jose,187 ms,11.74 MB/s
103.184.45.215,443,true,SJC,North America,San Jose,191 ms,11.71 MB/s
103.184.44.36,443,true,SJC,North America,San Jose,191 ms,11.67 MB/s
103.184.45.43,443,true,SJC,North America,San Jose,182 ms,11.66 MB/s
103.184.44.181,443,true,SJC,North America,San Jose,189 ms,11.65 MB/s
103.184.45.111,443,true,SJC,North America,San Jose,196 ms,11.65 MB/s
103.184.44.215,443,true,SJC,North America,San Jose,187 ms,11.64 MB/s
103.184.44.209,443,true,SJC,North America,San Jose,227 ms,11.63 MB/s
103.184.45.109,443,true,SJC,North America,San Jose,192 ms,11.62 MB/s
103.184.44.95,443,true,SJC,North America,San Jose,237 ms,11.62 MB/s
103.184.45.200,443,true,SJC,North America,San Jose,193 ms,11.61 MB/s
103.184.45.146,443,true,SJC,North America,San Jose,227 ms,11.59 MB/s
103.184.45.42,443,true,SJC,North America,San Jose,199 ms,11.59 MB/s
103.184.44.187,443,true,SJC,North America,San Jose,186 ms,11.59 MB/s
103.184.44.148,443,true,SJC,North America,San Jose,188 ms,11.58 MB/s
103.184.44.172,443,true,SJC,North America,San Jose,197 ms,11.58 MB/s
103.184.45.134,443,true,SJC,North America,San Jose,197 ms,11.58 MB/s
103.184.44.217,443,true,SJC,North America,San Jose,186 ms,11.57 MB/s
103.184.45.31,443,true,SJC,North America,San Jose,187 ms,11.52 MB/s
103.184.44.164,443,true,SJC,North America,San Jose,193 ms,11.52 MB/s
103.184.44.86,443,true,SJC,North America,San Jose,186 ms,11.50 MB/s
103.184.44.155,443,true,SJC,North America,San Jose,192 ms,11.48 MB/s
103.184.45.44,443,true,SJC,North America,San Jose,189 ms,11.47 MB/s
103.184.44.17,443,true,SJC,North America,San Jose,190 ms,11.47 MB/s
103.184.45.216,443,true,SJC,North America,San Jose,194 ms,11.46 MB/s
103.184.45.68,443,true,SJC,North America,San Jose,184 ms,11.46 MB/s
103.184.45.7,443,true,SJC,North America,San Jose,189 ms,11.42 MB/s
103.184.45.63,443,true,SJC,North America,San Jose,187 ms,11.41 MB/s
103.184.45.80,443,true,SJC,North America,San Jose,187 ms,11.41 MB/s
103.184.45.130,443,true,SJC,North America,San Jose,190 ms,11.39 MB/s
103.184.44.214,443,true,SJC,North America,San Jose,237 ms,11.38 MB/s
103.184.45.98,443,true,SJC,North America,San Jose,193 ms,11.37 MB/s
103.184.45.37,443,true,SJC,North America,San Jose,194 ms,11.37 MB/s
103.184.45.12,443,true,SJC,North America,San Jose,187 ms,11.37 MB/s
103.184.45.195,443,true,SJC,North America,San Jose,185 ms,11.34 MB/s
103.184.45.187,443,true,SJC,North America,San Jose,186 ms,11.34 MB/s
103.184.45.127,443,true,SJC,North America,San Jose,194 ms,11.34 MB/s
103.184.44.140,443,true,SJC,North America,San Jose,191 ms,11.33 MB/s
103.184.45.226,443,true,SJC,North America,San Jose,185 ms,11.33 MB/s
103.184.44.16,443,true,SJC,North America,San Jose,198 ms,11.33 MB/s
103.184.44.58,443,true,SJC,North America,San Jose,194 ms,11.32 MB/s
103.184.44.219,443,true,SJC,North America,San Jose,193 ms,11.32 MB/s
103.184.44.195,443,true,SJC,North America,San Jose,190 ms,11.31 MB/s
103.184.45.72,443,true,SJC,North America,San Jose,194 ms,11.31 MB/s
103.184.45.46,443,true,SJC,North America,San Jose,195 ms,11.30 MB/s
103.184.44.117,443,true,SJC,North America,San Jose,194 ms,11.29 MB/s
103.184.45.103,443,true,SJC,North America,San Jose,186 ms,11.29 MB/s
103.184.45.223,443,true,SJC,North America,San Jose,189 ms,11.29 MB/s
103.184.44.103,443,true,SJC,North America,San Jose,191 ms,11.28 MB/s
103.184.44.6,443,true,SJC,North America,San Jose,181 ms,11.27 MB/s
103.184.45.156,443,true,SJC,North America,San Jose,197 ms,11.27 MB/s
103.184.44.55,443,true,SJC,North America,San Jose,188 ms,11.26 MB/s
103.184.45.39,443,true,SJC,North America,San Jose,189 ms,11.26 MB/s
